epoch,train_loss,val_loss,train_pixel_acc,val_pixel_acc,train_mean_acc,val_mean_acc,train_miou,val_miou
22,0.24645806804299356,0.2368418824672699,0.9148464590311051,0.918031952381134,0.6341155691988145,0.6409654628733793,0.4457391412828291,0.45722554944533234
23,0.2267543612420559,0.22453870475292206,0.9208112627267837,0.9218651676177978,0.662871297141537,0.6352346762766442,0.47628292275510203,0.49297549970603244
24,0.20959852382540703,0.20898145973682403,0.9258759975433349,0.9265032911300659,0.6894779750471933,0.6744194426263374,0.5038693486189004,0.4990701646901045
25,0.19891824826598167,0.19661925137043,0.929020504951477,0.9299259901046752,0.7015965813957153,0.6826624022424223,0.5228863412650147,0.5164428195691046
26,0.18486169457435608,0.18811561524868012,0.9333124804496765,0.9324976444244385,0.7154312915851672,0.6958391224344572,0.5459962463068466,0.534609582517296
27,0.17683533683419228,0.17998539686203002,0.935627236366272,0.9348733758926392,0.7277899705711752,0.7118505501250426,0.5587707349068176,0.5480465102257828
28,0.16839069336652757,0.17503802001476287,0.9382377845048905,0.9361235761642456,0.7354579920445877,0.7096232374012468,0.5735552440723408,0.5625921392875413
29,0.1620952345430851,0.1701175081729889,0.9400385707616806,0.9376076483726501,0.7418413770198822,0.7239537626008195,0.5834766026617337,0.5624446733683969
30,0.15972569189965724,0.1660343474149704,0.9406082141399383,0.9388138079643249,0.7472555378451946,0.7319251778970164,0.5901640000132222,0.5731335401410859
31,0.15257886797189713,0.1658182328939438,0.9428665268421174,0.9395096063613891,0.7560443756481011,0.7345677233735721,0.6023389507721489,0.5714031267538666
32,0.14903903380036354,0.15964038908481598,0.9439618343114853,0.9411350369453431,0.7585288619451844,0.7235317225257556,0.6091178681813956,0.5923420047232261
33,0.14444703601300715,0.1561374056339264,0.9453637880086899,0.9423648047447205,0.7661160728335383,0.7373233407735824,0.6187416162015866,0.5886030443385243
34,0.14073294185101987,0.15575098305940627,0.9466311758756638,0.9423586797714233,0.7696214160819848,0.7481993201375006,0.6242864739421442,0.5925471966465313
35,0.1381343875080347,0.1526312807202339,0.9474595123529435,0.9435191416740417,0.7726067940331999,0.7448241489132247,0.6305365304819618,0.6028809291031211
36,0.13541650854051113,0.15070636123418807,0.9482805210351944,0.9442846965789795,0.7755767653634154,0.7592997659370303,0.6358494331912762,0.6007858083676547
37,0.13253264516592025,0.14916012525558472,0.9492524772882461,0.9447876310348511,0.778689990391334,0.7469850198427836,0.6401651259853193,0.6078826032144329
38,0.13107842184603213,0.1486786350607872,0.9497042459249496,0.944482147693634,0.781229499615729,0.7465931421518326,0.6435107881288664,0.6105652124372621
39,0.12843868464231492,0.146833918094635,0.9505976647138595,0.945350148677826,0.7834806464395174,0.7691087596615155,0.6486905165874248,0.6012107321806252
40,0.12717635288834572,0.14510250359773635,0.9509585696458817,0.9459119701385498,0.7870056095222635,0.7498783739407858,0.6511199103031932,0.6178699250829716
41,0.12493649169802666,0.14536768436431885,0.9517687904834747,0.9458903455734253,0.7895781820515794,0.7490225037684044,0.6583307187429941,0.6144418040166297
42,0.12396800935268402,0.14262772142887115,0.9520771074295044,0.9469811534881591,0.7905046907315654,0.7536933214589955,0.6604761423015347,0.6216166612568
